epoch,accuracy,f1_score,loss,val_accuracy,val_f1_score,val_loss
1,0.0758,0.0545,5.3324,0.0406,0.0162,5.2017
2,0.0619,0.0167,5.1092,0.0651,0.0211,5.0038
3,0.0673,0.0206,5.0119,0.0651,0.0281,4.9298
4,0.0748,0.0258,4.9338,0.0573,0.0237,4.9283
5,0.0824,0.0317,4.8645,0.0607,0.0286,5.0411
6,0.0893,0.036,4.8054,0.0584,0.0298,5.4781
7,0.099,0.0445,4.7549,0.0696,0.0389,5.0506
8,0.1019,0.0477,4.7111,0.0729,0.0391,4.9669
9,0.1071,0.051,4.6763,0.0651,0.0351,5.0364
10,0.1159,0.0558,4.6222,0.1119,0.08,4.5743
11,0.1201,0.0604,4.5883,0.1085,0.0788,4.5923
12,0.1232,0.0622,4.5695,0.1141,0.0837,4.57
13,0.1253,0.0635,4.5509,0.1213,0.0895,4.5325
14,0.1299,0.0673,4.5323,0.1119,0.0793,4.582
15,0.1328,0.0708,4.5176,0.1085,0.075,4.5657
16,0.1338,0.072,4.5019,0.1096,0.0786,4.5433
17,0.1376,0.0731,4.4857,0.1185,0.0854,4.4989
18,0.1359,0.0738,4.4707,0.1163,0.0821,4.5656
19,0.1449,0.0795,4.4541,0.1135,0.0763,4.5432
20,0.1403,0.0783,4.4406,0.1174,0.0793,4.5005
21,0.1461,0.0818,4.4276,0.1157,0.0815,4.5132
22,0.1489,0.0847,4.4136,0.1163,0.0807,4.5169
23,0.1545,0.0885,4.3921,0.133,0.0904,4.3338
24,0.1584,0.0905,4.3757,0.1347,0.091,4.3317
25,0.1595,0.0918,4.367,0.1358,0.091,4.35
26,0.1616,0.093,4.3571,0.1347,0.0942,4.3233
27,0.1605,0.0943,4.3512,0.1375,0.0948,4.3554
28,0.16,0.0932,4.3427,0.1391,0.0963,4.3181
29,0.1647,0.0952,4.3373,0.1369,0.0967,4.3385
30,0.1707,0.102,4.3303,0.1375,0.0976,4.3386
31,0.1677,0.0994,4.3211,0.1369,0.0966,4.352
32,0.1707,0.1014,4.313,0.1425,0.1021,4.3153
33,0.1707,0.1017,4.3078,0.1391,0.1005,4.3373
34,0.1712,0.102,4.2989,0.1402,0.102,4.3238
35,0.1741,0.1034,4.2934,0.1391,0.0999,4.3422
36,0.1747,0.105,4.2873,0.1363,0.0993,4.3413
37,0.178,0.1088,4.2794,0.1391,0.1028,4.3236
38,0.1826,0.1111,4.2684,0.1413,0.103,4.2925
39,0.1848,0.1136,4.2598,0.1419,0.1017,4.302
40,0.1869,0.1167,4.2565,0.1408,0.1038,4.3037
41,0.1825,0.113,4.2518,0.138,0.099,4.3033
42,0.189,0.1172,4.2499,0.1425,0.1062,4.2857
43,0.1862,0.1138,4.2454,0.138,0.1018,4.3036
44,0.1876,0.1158,4.2411,0.1425,0.1058,4.3092
45,0.1916,0.1209,4.2395,0.143,0.1074,4.2906
46,0.1898,0.1178,4.2333,0.1436,0.1061,4.2993
47,0.19,0.1187,4.2296,0.1469,0.11,4.2875
48,0.1925,0.1208,4.2293,0.143,0.1038,4.3205
49,0.1962,0.1235,4.2234,0.1425,0.1038,4.3047
