epoch,accuracy,f1_score,loss,val_accuracy,val_f1_score,val_loss
1,0.0518,0.029,5.4536,0.0256,0.00086976,5.2682
2,0.0318,0.0016,5.3402,0.0545,0.0021,5.0945
3,0.0503,0.0031,5.2291,0.0657,0.0041,4.9981
4,0.0607,0.0045,5.1453,0.0757,0.0055,4.9223
5,0.0644,0.0053,5.0753,0.0801,0.007,4.8609
6,0.0671,0.0065,5.0221,0.0885,0.0093,4.7913
7,0.0671,0.0082,4.9673,0.0929,0.0125,4.7752
8,0.0756,0.0105,4.9137,0.0974,0.0123,4.6848
9,0.0818,0.0137,4.8653,0.1046,0.0158,4.6433
10,0.0869,0.0181,4.8138,0.1068,0.0195,4.626
11,0.0961,0.0236,4.7673,0.1146,0.0249,4.6038
12,0.1014,0.0276,4.7146,0.1007,0.0206,4.6166
13,0.1062,0.0318,4.6698,0.1002,0.0257,4.5787
14,0.1151,0.0382,4.6179,0.1024,0.0259,4.6169
15,0.122,0.0435,4.5747,0.1068,0.0334,4.5898
16,0.1283,0.0504,4.5353,0.1052,0.0369,4.5824
17,0.141,0.0614,4.4811,0.0968,0.0326,4.6669
18,0.1433,0.0618,4.4491,0.0974,0.0374,4.6627
19,0.1538,0.0687,4.4071,0.0991,0.0378,4.6953
20,0.1689,0.0838,4.3707,0.1141,0.0479,4.5591
21,0.1705,0.0833,4.3317,0.123,0.0525,4.4935
22,0.1769,0.087,4.3184,0.1302,0.0603,4.4672
23,0.1827,0.0939,4.2842,0.1324,0.0656,4.4585
24,0.1858,0.0984,4.2756,0.133,0.0612,4.4306
25,0.1882,0.1012,4.2544,0.1375,0.0663,4.4061
26,0.1936,0.1059,4.2341,0.1313,0.0628,4.4496
27,0.2022,0.1129,4.2105,0.1347,0.0644,4.4009
28,0.2016,0.11,4.1962,0.1347,0.0699,4.4049
29,0.2051,0.1158,4.1749,0.1413,0.0712,4.3963
30,0.2106,0.1198,4.155,0.1341,0.066,4.452
31,0.2082,0.1166,4.1473,0.1391,0.0738,4.4484
32,0.2197,0.1287,4.1254,0.1413,0.0749,4.3953
33,0.2199,0.1291,4.1057,0.1458,0.0789,4.3549
34,0.2299,0.1382,4.0868,0.1402,0.0732,4.4047
35,0.2318,0.1391,4.0747,0.1408,0.0745,4.4113
36,0.237,0.1422,4.0576,0.1391,0.0748,4.4044
37,0.2344,0.1419,4.0448,0.1592,0.0881,4.2358
38,0.2391,0.1469,4.028,0.1636,0.0923,4.2171
39,0.237,0.1468,4.0167,0.1625,0.0923,4.2304
40,0.247,0.1512,4.0051,0.1647,0.0938,4.2177
41,0.2533,0.1574,3.986,0.1647,0.0944,4.2101
42,0.2554,0.1566,3.9852,0.163,0.0948,4.2196
43,0.2604,0.1646,3.9674,0.1669,0.0962,4.2176
44,0.2584,0.1647,3.9622,0.1681,0.0971,4.214
45,0.2533,0.1586,3.9607,0.1725,0.1067,4.1652
46,0.262,0.1678,3.9466,0.1697,0.104,4.1681
47,0.2635,0.1662,3.9367,0.1681,0.1033,4.1662
48,0.2632,0.1698,3.9365,0.1697,0.1043,4.1694
49,0.263,0.1718,3.9244,0.1725,0.1033,4.1579
50,0.274,0.1793,3.9241,0.1725,0.1028,4.1614
51,0.2665,0.174,3.923,0.1714,0.1023,4.1567
52,0.2757,0.1817,3.9056,0.1725,0.1045,4.1591
53,0.2684,0.1742,3.9184,0.1714,0.1035,4.1605
54,0.2759,0.179,3.9107,0.1742,0.1048,4.1599
55,0.273,0.179,3.9016,0.1703,0.1032,4.1639
56,0.2744,0.1817,3.8939,0.1703,0.1035,4.1653
57,0.2785,0.1822,3.8975,0.172,0.1053,4.1636
58,0.2777,0.1803,3.9044,0.1736,0.1063,4.1642
