epoch,accuracy,f1_score,loss,val_accuracy,val_f1_score,val_loss
1,0.0614,0.0362,5.2596,0.0223,0.0002,5.0657
2,0.0179,0.001,5.2088,0.0284,0.0005,5.0594
3,0.0156,0.0009,5.201,0.025,0.0002,5.0626
4,0.0165,0.0009,5.1992,0.025,0.0002,5.0635
5,0.0231,0.0013,5.1864,0.0406,0.001,5.0152
6,0.0301,0.0017,5.1511,0.0456,0.0025,5.0031
7,0.0359,0.0024,5.1273,0.0512,0.0025,4.9678
8,0.0376,0.0021,5.0919,0.0529,0.0022,4.9319
9,0.0414,0.0028,5.0678,0.0551,0.0024,4.9077
10,0.045,0.0032,5.0504,0.0595,0.0031,4.8739
11,0.0477,0.0041,5.0186,0.0735,0.008,4.8319
12,0.0552,0.0068,4.9891,0.0646,0.0061,4.8124
13,0.0584,0.0068,4.9629,0.0801,0.0107,4.7735
14,0.0671,0.0077,4.9233,0.0807,0.0116,4.7302
15,0.0735,0.0086,4.8787,0.0885,0.0129,4.6674
16,0.0769,0.0119,4.8373,0.0946,0.0179,4.6193
17,0.0849,0.0129,4.7954,0.0918,0.0142,4.5815
18,0.087,0.016,4.7537,0.1007,0.0172,4.5412
19,0.0927,0.0182,4.7043,0.108,0.0234,4.4979
20,0.0999,0.0229,4.6568,0.108,0.027,4.4674
21,0.0991,0.0255,4.6218,0.1057,0.0242,4.4621
22,0.11,0.0308,4.5904,0.1157,0.0345,4.4073
23,0.1157,0.0371,4.5522,0.1085,0.0332,4.4399
24,0.1186,0.0375,4.5036,0.1113,0.037,4.4043
25,0.1212,0.0442,4.479,0.1146,0.0407,4.3651
26,0.1331,0.053,4.4225,0.118,0.0494,4.3524
27,0.1346,0.0556,4.3928,0.1219,0.0521,4.3577
28,0.1456,0.0637,4.3422,0.1247,0.0555,4.3478
29,0.1507,0.0699,4.2986,0.1141,0.0556,4.3654
30,0.1524,0.0731,4.2646,0.123,0.0643,4.3435
31,0.1637,0.0858,4.223,0.1285,0.0679,4.3309
32,0.1696,0.0913,4.1775,0.1258,0.0666,4.3376
33,0.1875,0.105,4.1391,0.1219,0.0592,4.4546
34,0.1919,0.1071,4.1116,0.1208,0.0657,4.5266
35,0.1947,0.115,4.1023,0.1363,0.0735,4.2931
36,0.2058,0.1216,4.0559,0.1413,0.0806,4.2672
37,0.2235,0.137,4.0112,0.143,0.0829,4.2659
38,0.228,0.1424,3.9592,0.1491,0.0863,4.2003
39,0.2371,0.149,3.9178,0.1486,0.0857,4.2437
40,0.2424,0.1549,3.886,0.1536,0.0918,4.219
41,0.2599,0.1711,3.836,0.1503,0.0926,4.2375
42,0.26,0.1725,3.8335,0.172,0.0959,4.0435
43,0.2734,0.1808,3.7986,0.1703,0.0971,4.0422
44,0.2787,0.1895,3.7708,0.1731,0.0992,4.0443
45,0.2799,0.1905,3.7449,0.1708,0.1011,4.0537
46,0.294,0.2055,3.7068,0.1725,0.0997,4.0333
47,0.2967,0.2066,3.6837,0.1764,0.1014,4.022
48,0.3067,0.2102,3.6617,0.1747,0.1013,4.0661
49,0.3166,0.2243,3.6238,0.1781,0.1042,4.0484
50,0.315,0.2209,3.6032,0.1864,0.1141,4.0359
51,0.3208,0.2271,3.6065,0.1937,0.1141,3.9748
52,0.3257,0.231,3.5926,0.1998,0.12,3.971
53,0.3345,0.2401,3.5655,0.1998,0.1182,3.9759
54,0.3309,0.2348,3.5374,0.2003,0.1173,3.9789
55,0.3395,0.2463,3.5312,0.1992,0.1192,3.9736
56,0.3356,0.2409,3.5275,0.2003,0.1251,3.9476
57,0.3413,0.2483,3.5028,0.1992,0.1268,3.9477
58,0.3478,0.2543,3.4992,0.1987,0.1246,3.9463
59,0.3541,0.2579,3.4942,0.2065,0.1306,3.9428
60,0.3466,0.2548,3.4926,0.2031,0.1274,3.9473
61,0.35,0.2535,3.4779,0.2003,0.1268,3.9475
62,0.3578,0.2626,3.4712,0.1998,0.1261,3.9464
63,0.35,0.2517,3.474,0.2092,0.1361,3.9368
64,0.3609,0.2621,3.4632,0.2098,0.1343,3.9377
65,0.3613,0.2631,3.451,0.2081,0.1337,3.9416
66,0.3581,0.2627,3.4525,0.2081,0.1343,3.9375
67,0.361,0.2669,3.4522,0.2092,0.1359,3.9341
68,0.3713,0.2715,3.43,0.2081,0.1339,3.9376
69,0.3619,0.2643,3.4378,0.2092,0.1353,3.9395
70,0.3771,0.2791,3.4224,0.207,0.1347,3.9391
71,0.365,0.2692,3.4256,0.2076,0.1335,3.9432
72,0.3683,0.2689,3.4293,0.2059,0.1327,3.9406
73,0.3661,0.2684,3.4318,0.207,0.1341,3.9419
74,0.3726,0.2748,3.4166,0.2076,0.1345,3.9366
