epoch,accuracy,f1_score,loss,val_accuracy,val_f1_score,val_loss
1,0.0404,0.019,6.0735,0.0473,0.0155,5.6565
2,0.018,0.0116,5.7964,0.0523,0.0137,5.5965
3,0.0278,0.0115,5.7102,0.0735,0.0218,5.6129
4,0.0377,0.0146,5.656,0.0501,0.0137,5.5087
5,0.0467,0.016,5.6088,0.0518,0.013,5.4504
6,0.047,0.0148,5.5698,0.0529,0.0131,5.4353
7,0.0511,0.0166,5.5243,0.0801,0.0265,5.3544
8,0.0481,0.0146,5.5045,0.0595,0.0204,5.4069
9,0.0543,0.0169,5.456,0.0607,0.0235,5.3318
10,0.0637,0.0207,5.4123,0.0401,0.0158,5.4028
11,0.0612,0.0195,5.3812,0.0395,0.0116,5.5629
12,0.0651,0.0207,5.361,0.0746,0.032,5.2022
13,0.0657,0.0221,5.3085,0.0595,0.0293,5.5208
14,0.0685,0.0236,5.292,0.0484,0.0203,5.519
15,0.0663,0.022,5.2608,0.079,0.0334,5.0805
16,0.0715,0.0248,5.2278,0.089,0.0391,5.0446
17,0.0736,0.0263,5.1896,0.0601,0.0325,5.2977
18,0.0777,0.029,5.1584,0.0779,0.036,5.4043
19,0.0789,0.0291,5.1413,0.0774,0.0317,5.1727
20,0.0867,0.0324,5.0803,0.113,0.0506,4.8282
21,0.0901,0.0339,5.0471,0.1068,0.0438,4.8431
22,0.0969,0.0376,5.0199,0.1107,0.0525,4.9781
23,0.0983,0.0392,4.9921,0.1196,0.0628,4.8497
24,0.1011,0.0412,4.9665,0.1358,0.0655,4.6899
25,0.1061,0.0441,4.924,0.1375,0.0657,4.679
26,0.1042,0.0435,4.9001,0.1363,0.0714,4.6605
27,0.1124,0.0481,4.8764,0.1386,0.0673,4.6338
28,0.112,0.0486,4.8704,0.1375,0.0684,4.6626
29,0.1168,0.0502,4.8288,0.1386,0.0735,4.5781
30,0.1237,0.0541,4.808,0.1458,0.0746,4.5547
