id,experiment_name,epoch,train_accuracy,val_accuracy,train_loss,val_loss,f1_train_macro,f1_val_macro,f1_train_weighted,f1_val_weighted,top5_train_accuracy,top5_val_accuracy,timestamp
21,eff-net_with_phylum_no_proc_reg,1,0.0789,0.1903,5.0605,4.5924,0.02,0.0412,0.0574,0.1143,0.1753,0.3495,2025-04-27 20:20:08
21,eff-net_with_phylum_no_proc_reg,2,0.1961,0.2571,4.3433,3.9565,0.0486,0.0687,0.1231,0.1605,0.3699,0.4786,2025-04-27 20:21:21
21,eff-net_with_phylum_no_proc_reg,3,0.2555,0.3155,3.8035,3.496,0.0792,0.1089,0.1705,0.2156,0.4812,0.5626,2025-04-27 20:22:32
21,eff-net_with_phylum_no_proc_reg,4,0.3129,0.3728,3.3946,3.141,0.1244,0.1692,0.2304,0.2828,0.5682,0.6266,2025-04-27 20:23:40
21,eff-net_with_phylum_no_proc_reg,5,0.3623,0.4174,3.0547,2.8612,0.1814,0.2212,0.29,0.3355,0.646,0.665,2025-04-27 20:24:48
21,eff-net_with_phylum_no_proc_reg,6,0.4091,0.4541,2.8042,2.6321,0.2392,0.2566,0.3431,0.3744,0.6879,0.7117,2025-04-27 20:25:57
21,eff-net_with_phylum_no_proc_reg,7,0.4486,0.4919,2.5835,2.4393,0.2941,0.3044,0.3914,0.4214,0.7287,0.7518,2025-04-27 20:27:06
21,eff-net_with_phylum_no_proc_reg,8,0.4726,0.5198,2.4086,2.2862,0.3284,0.3476,0.4204,0.4541,0.762,0.773,2025-04-27 20:32:30
21,eff-net_with_phylum_no_proc_reg,9,0.5012,0.5392,2.2529,2.1568,0.3662,0.3878,0.4536,0.4796,0.7896,0.7952,2025-04-27 20:33:41
21,eff-net_with_phylum_no_proc_reg,10,0.525,0.5515,2.1254,2.0574,0.4099,0.4077,0.4848,0.4958,0.8073,0.8114,2025-04-27 20:34:51
21,eff-net_with_phylum_no_proc_reg,11,0.5505,0.5659,2.0156,1.9711,0.4509,0.4339,0.5154,0.5156,0.8232,0.828,2025-04-27 20:36:00
21,eff-net_with_phylum_no_proc_reg,12,0.5715,0.5821,1.9219,1.9059,0.4787,0.4535,0.54,0.5325,0.8447,0.8331,2025-04-27 20:37:08
21,eff-net_with_phylum_no_proc_reg,13,0.5832,0.5927,1.8467,1.8469,0.5057,0.4795,0.5565,0.5478,0.8554,0.8453,2025-04-27 20:38:17
21,eff-net_with_phylum_no_proc_reg,14,0.6006,0.6077,1.7838,1.7973,0.5298,0.5013,0.5767,0.5673,0.8639,0.8514,2025-04-27 20:39:28
21,eff-net_with_phylum_no_proc_reg,15,0.6159,0.6155,1.7127,1.7588,0.5484,0.5193,0.5937,0.5788,0.8752,0.8603,2025-04-27 20:45:25
21,eff-net_with_phylum_no_proc_reg,16,0.6355,0.6188,1.6551,1.7282,0.5802,0.5297,0.6168,0.5846,0.8859,0.8614,2025-04-27 20:46:38
21,eff-net_with_phylum_no_proc_reg,17,0.6453,0.6361,1.6003,1.6974,0.5949,0.5556,0.6292,0.6063,0.8956,0.8687,2025-04-27 20:47:49
21,eff-net_with_phylum_no_proc_reg,18,0.662,0.6366,1.5666,1.6723,0.6094,0.5574,0.646,0.6063,0.8976,0.8703,2025-04-27 20:49:00
21,eff-net_with_phylum_no_proc_reg,19,0.6647,0.6411,1.5371,1.6555,0.6124,0.5642,0.6497,0.6102,0.9048,0.8726,2025-04-27 20:50:09
21,eff-net_with_phylum_no_proc_reg,20,0.6818,0.6472,1.5002,1.6339,0.6415,0.5752,0.6691,0.6192,0.9083,0.8787,2025-04-27 20:51:19
21,eff-net_with_phylum_no_proc_reg,21,0.6829,0.6539,1.4866,1.6197,0.6421,0.58,0.6706,0.626,0.9136,0.882,2025-04-27 20:52:29
