id,experiment_name,epoch,train_accuracy,val_accuracy,train_loss,val_loss,f1_train_macro,f1_val_macro,f1_train_weighted,f1_val_weighted,top5_train_accuracy,top5_val_accuracy,timestamp
24,eff-net_with_phylum_pre-ft,1,0.0646,0.2014,5.1135,4.568,0.021,0.0554,0.0427,0.1206,0.1541,0.3812,2025-04-29 10:21:32
24,eff-net_with_phylum_pre-ft,2,0.1649,0.2693,4.415,3.8539,0.0651,0.0982,0.1006,0.1749,0.3415,0.5114,2025-04-29 10:22:51
24,eff-net_with_phylum_pre-ft,3,0.2292,0.3339,3.8495,3.3447,0.1229,0.1579,0.1617,0.2399,0.4769,0.6283,2025-04-29 10:24:09
24,eff-net_with_phylum_pre-ft,4,0.2999,0.3929,3.3891,2.9536,0.2043,0.2324,0.2405,0.3076,0.5942,0.714,2025-04-29 10:25:35
24,eff-net_with_phylum_pre-ft,5,0.3529,0.4535,3.0398,2.6536,0.2777,0.3289,0.3046,0.3898,0.6673,0.7724,2025-04-30 10:31:57
24,eff-net_with_phylum_pre-ft,6,0.4036,0.4908,2.7632,2.4285,0.3477,0.383,0.3672,0.4343,0.7205,0.7991,2025-04-30 10:33:10
24,eff-net_with_phylum_pre-ft,7,0.4471,0.532,2.5375,2.2594,0.4016,0.4403,0.4182,0.4843,0.7608,0.8141,2025-04-30 10:34:21
24,eff-net_with_phylum_pre-ft,8,0.4873,0.5548,2.345,2.1314,0.4493,0.4771,0.4628,0.5128,0.7867,0.8319,2025-04-30 10:35:31
24,eff-net_with_phylum_pre-ft,9,0.5106,0.5726,2.2237,2.0382,0.4777,0.5025,0.489,0.535,0.8044,0.8408,2025-04-30 10:41:41
24,eff-net_with_phylum_pre-ft,10,0.5362,0.586,2.111,1.9668,0.5105,0.5205,0.5187,0.5517,0.8225,0.8475,2025-04-30 10:42:53
24,eff-net_with_phylum_pre-ft,11,0.5536,0.5988,2.0312,1.91,0.5322,0.5349,0.5374,0.5665,0.8293,0.8536,2025-04-30 10:44:05
24,eff-net_with_phylum_pre-ft,12,0.5646,0.6082,1.9603,1.8659,0.5445,0.5484,0.5493,0.5787,0.8398,0.8548,2025-04-30 10:45:17
24,eff-net_with_phylum_pre-ft,13,0.5777,0.6127,1.8964,1.8312,0.5585,0.5565,0.564,0.5841,0.8508,0.857,2025-04-30 10:49:48
24,eff-net_with_phylum_pre-ft,14,0.6007,0.6171,1.8401,1.8007,0.5847,0.5644,0.5885,0.5915,0.8628,0.8581,2025-04-30 10:50:59
24,eff-net_with_phylum_pre-ft,15,0.6035,0.6283,1.7936,1.7726,0.59,0.574,0.5931,0.6029,0.8661,0.8637,2025-04-30 10:52:10
24,eff-net_with_phylum_pre-ft,16,0.6118,0.6311,1.7513,1.7507,0.5985,0.5786,0.6022,0.607,0.8737,0.8659,2025-04-30 10:53:23
24,eff-net_with_phylum_pre-ft,17,0.6196,0.6366,1.7232,1.7334,0.6101,0.5865,0.6115,0.6127,0.8752,0.867,2025-04-30 11:00:05
24,eff-net_with_phylum_pre-ft,18,0.6377,0.6388,1.6894,1.7174,0.6289,0.5871,0.6302,0.6157,0.8802,0.8692,2025-04-30 11:01:17
24,eff-net_with_phylum_pre-ft,19,0.6334,0.64,1.6816,1.7038,0.6258,0.5875,0.6257,0.6171,0.8813,0.8737,2025-04-30 11:02:27
24,eff-net_with_phylum_pre-ft,20,0.6413,0.6461,1.6352,1.6921,0.6324,0.5961,0.6337,0.6246,0.8894,0.8709,2025-04-30 11:03:40
