id,experiment_name,epoch,train_accuracy,val_accuracy,train_loss,val_loss,f1_train_macro,f1_val_macro,f1_train_weighted,f1_val_weighted,top5_train_accuracy,top5_val_accuracy,timestamp
27,eff-net_with_phylum_ft,1,0.6519,0.6477,1.6082,1.6892,0.6426,0.5973,0.6431,0.6258,0.8955,0.8726,2025-04-30 11:49:35
27,eff-net_with_phylum_ft,2,0.6519,0.6489,1.6174,1.6862,0.6461,0.5999,0.6449,0.627,0.895,0.8715,2025-04-30 11:50:47
27,eff-net_with_phylum_ft,3,0.6521,0.6483,1.6055,1.6833,0.6452,0.5999,0.6455,0.6266,0.895,0.8737,2025-04-30 11:51:58
27,eff-net_with_phylum_ft,4,0.6571,0.6483,1.605,1.6806,0.6515,0.599,0.6501,0.6264,0.8936,0.8726,2025-04-30 11:53:11
27,eff-net_with_phylum_ft,5,0.6581,0.6494,1.596,1.6785,0.6517,0.6004,0.651,0.6275,0.8942,0.8726,2025-04-30 11:59:50
27,eff-net_with_phylum_ft,6,0.6549,0.6494,1.6015,1.6763,0.646,0.6002,0.6478,0.6275,0.8952,0.8731,2025-04-30 12:01:01
27,eff-net_with_phylum_ft,7,0.6563,0.6489,1.592,1.6737,0.6497,0.6001,0.6488,0.6271,0.8962,0.8737,2025-04-30 12:02:13
27,eff-net_with_phylum_ft,8,0.6594,0.6505,1.5886,1.6714,0.6525,0.6011,0.6531,0.6287,0.8974,0.8726,2025-04-30 12:03:26
27,eff-net_with_phylum_ft,9,0.6623,0.6522,1.575,1.6693,0.655,0.6053,0.6542,0.6319,0.9008,0.8726,2025-04-30 15:42:51
27,eff-net_with_phylum_ft,10,0.6611,0.6522,1.5942,1.6676,0.6564,0.6055,0.6545,0.6319,0.899,0.8737,2025-04-30 15:44:02
27,eff-net_with_phylum_ft,11,0.6628,0.6533,1.5774,1.6653,0.6567,0.6045,0.6559,0.6328,0.8999,0.8726,2025-04-30 15:45:13
27,eff-net_with_phylum_ft,12,0.667,0.6544,1.5635,1.6632,0.6648,0.6069,0.6617,0.6344,0.9018,0.8726,2025-04-30 15:46:28
27,eff-net_with_phylum_ft,13,0.6644,0.6539,1.573,1.6616,0.6565,0.6071,0.6569,0.6335,0.8988,0.8726,2025-04-30 21:13:37
27,eff-net_with_phylum_ft,14,0.6631,0.6544,1.5714,1.6599,0.6576,0.6073,0.6568,0.634,0.9007,0.8731,2025-04-30 21:14:48
27,eff-net_with_phylum_ft,15,0.6636,0.6544,1.5604,1.6583,0.66,0.6069,0.657,0.6339,0.9001,0.8726,2025-04-30 21:15:57
27,eff-net_with_phylum_ft,16,0.6713,0.6544,1.5359,1.6568,0.6632,0.6074,0.6638,0.6341,0.9071,0.8737,2025-04-30 21:17:12
27,eff-net_with_phylum_ft,17,0.6727,0.6544,1.5526,1.6552,0.6683,0.6073,0.6666,0.634,0.9026,0.8748,2025-04-30 21:25:46
27,eff-net_with_phylum_ft,18,0.6787,0.6566,1.5328,1.6537,0.6736,0.6096,0.6723,0.6365,0.9076,0.8759,2025-04-30 21:26:56
27,eff-net_with_phylum_ft,19,0.6687,0.6566,1.5441,1.6525,0.661,0.6098,0.662,0.6366,0.905,0.877,2025-04-30 21:28:06
27,eff-net_with_phylum_ft,20,0.6725,0.6566,1.5359,1.651,0.6675,0.6097,0.6666,0.6366,0.9071,0.8759,2025-04-30 21:29:19
27,eff-net_with_phylum_ft,21,0.6732,0.6594,1.5244,1.6495,0.6663,0.6124,0.6672,0.6396,0.9096,0.8765,2025-04-30 21:35:55
27,eff-net_with_phylum_ft,22,0.6726,0.6611,1.5435,1.6482,0.6659,0.6139,0.6662,0.6411,0.9051,0.8765,2025-04-30 21:37:05
27,eff-net_with_phylum_ft,23,0.6767,0.6611,1.5332,1.647,0.6717,0.6138,0.6707,0.6411,0.9064,0.877,2025-04-30 21:38:15
27,eff-net_with_phylum_ft,24,0.6787,0.6605,1.5241,1.6457,0.6751,0.6135,0.6733,0.6405,0.9075,0.877,2025-04-30 21:39:29
27,eff-net_with_phylum_ft,25,0.6788,0.6611,1.5272,1.6446,0.674,0.6145,0.6728,0.6412,0.9092,0.877,2025-04-30 22:15:44
